Thời gian crawl dữ liệu,Tên mã chứng khoán,Cập nhật,Giá kết thúc phiên,Giá so với tham chiếu,Khối lượng,Giá tham chiếu,Giá trần,Giá sàn,Giá mở cửa,Giá cao nhất,Giá thấp nhất,KLGD ròng,GT mua,GT bán,Room còn lại
2025-07-06 18:00:09.144054,MBB,"15:15 T6, 04/07/2025",26.00,0.05 (0.19%),"14,976,200",25.95,27.75,24.15,26,26.05,25.85,"-3,074",0.11 (Tỷ),0.19 (Tỷ),0.00 (%)
2025-07-06 18:03:50.540871,MBB,"15:15 T6, 04/07/2025",26.00,0.05 (0.19%),"14,976,200",25.95,27.75,24.15,26,26.05,25.85,"-3,074",0.11 (Tỷ),0.19 (Tỷ),0.00 (%)
2025-07-06 18:41:20.897597,MBB,"15:15 T6, 04/07/2025",26.00,0.05 (0.19%),"14,976,200",25.95,27.75,24.15,26,26.05,25.85,"-3,074",0.11 (Tỷ),0.19 (Tỷ),0.00 (%)
2025-07-06 18:44:46.922088,MBB,"15:15 T6, 04/07/2025",26.00,0.05 (0.19%),"14,976,200",25.95,27.75,24.15,26,26.05,25.85,"-3,074",0.11 (Tỷ),0.19 (Tỷ),0.00 (%)
2025-07-06 19:01:28.360783,MBB,"15:15 T6, 04/07/2025",26.00,0.05 (0.19%),"14,976,200",25.95,27.75,24.15,26,26.05,25.85,"-3,074",0.11 (Tỷ),0.19 (Tỷ),0.00 (%)
2025-07-06 19:02:00.041717,MBB,"15:15 T6, 04/07/2025",26.00,0.05 (0.19%),"14,976,200",25.95,27.75,24.15,26,26.05,25.85,"-3,074",0.11 (Tỷ),0.19 (Tỷ),0.00 (%)
2025-07-06 19:07:03.250019,MBB,"15:15 T6, 04/07/2025",26.00,0.05 (0.19%),"14,976,200",25.95,27.75,24.15,26,26.05,25.85,"-3,074",0.11 (Tỷ),0.19 (Tỷ),0.00 (%)
2025-07-07 21:16:32.313036,MBB,"15:15 T2, 07/07/2025",26.40,0.4 (1.54%),"18,584,900",26,27.8,24.2,26.1,26.5,26.1,"30,050",14.46 (Tỷ),13.67 (Tỷ),0.00 (%)
2025-07-08 14:35:56.952867,MBB,"14:35 T3, 08/07/2025",26.45,0.05 (0.19%),"15,561,800",26.4,28.2,24.6,26.5,26.7,26.35,"817,686",21.63 (Tỷ),22.47 (Tỷ),0.00 (%)
2025-07-08 17:03:24.953273,MBB,"15:15 T3, 08/07/2025",26.40,0 (0%),"16,109,400",26.4,28.2,24.6,26.5,26.7,26.35,"-32,414",21.59 (Tỷ),22.44 (Tỷ),0.00 (%)
2025-07-09 07:06:11.381275,MBB,"15:15 T3, 08/07/2025",26.40,0 (0%),"16,109,400",26.4,28.2,24.6,26.5,26.7,26.35,"-32,414",21.59 (Tỷ),22.44 (Tỷ),0.00 (%)
2025-07-10 00:09:25.138179,MBB,"15:15 T4, 09/07/2025",26.60,0.2 (0.76%),"25,277,700",26.4,28.2,24.6,26.55,26.8,26.4,"19,087",27.15 (Tỷ),26.64 (Tỷ),0.00 (%)
